[8:07 pm, 06/07/2022] Mohamad:  you need any more help
[9:45 am, 07/07/2022] Julian: JAJAJAJA
[9:45 am, 07/07/2022] Julian: Behaving breakfast on bus
[9:46 am, 07/07/2022] Aida: we dont habe order right?
[9:46 am, 07/07/2022] Aida: for presenting
[9:46 am, 07/07/2022] Ediz: There are bunch of groups so should be fine
[9:46 am, 07/07/2022] Ediz: Better to have i guess
[9:46 am, 07/07/2022] Ediz: Maybe 5by5
[9:46 am, 07/07/2022] Aida: I mean for all the groups
[9:47 am, 07/07/2022] Ediz: Hm he never mentioned
[9:47 am, 07/07/2022] Ediz: Also better to do this imo
[9:47 am, 07/07/2022] Julian: Yessss
[9:47 am, 07/07/2022] Ediz: I can have the first or second five
[9:48 am, 07/07/2022] Aida: whoever comes first to the class, say to the proc that im gonna be late pls
[9:49 am, 07/07/2022] Ediz: He doesn't care that much i think
[9:49 am, 07/07/2022] Aida: no, just to let him now that you cant present until I come😅
[9:50 am, 07/07/2022] Aida: do we have to submit the ppt?
[9:50 am, 07/07/2022] Aida: can someone do it?
[9:51 am, 07/07/2022] Aida: its till 10am
[9:51 am, 07/07/2022] Ediz: Sure of course 😄 he doesn't care the latency i mean
[9:51 am, 07/07/2022] Ediz: Done already
[9:51 am, 07/07/2022] Julian: Yes
[9:51 am, 07/07/2022] Julian: I submitted yesterday
[9:51 am, 07/07/2022] Julian: Jajajajaja
[9:52 am, 07/07/2022] Aida: ah oops
[9:52 am, 07/07/2022] Aida: hahaha
[9:52 am, 07/07/2022] Aida: oki
[9:53 am, 07/07/2022] Mohamad: A warning ⚠️ 
Be very very careful with amazon service (aws)
You guys have given the card details when registering 

Today DSA guys had encountered a huge money of deduction from their bank account so please be careful
[10:02 am, 07/07/2022] Mohamad: Guys he wants to start even if the whole team isn't present
[10:03 am, 07/07/2022] Mohamad: 😅
[10:04 am, 07/07/2022] Aida: im gonna take a cab
[10:07 am, 07/07/2022] Julian: bicycle JAJA
[10:13 am, 07/07/2022] Aida: lol no
[10:17 am, 07/07/2022] Julian: lets present
[10:17 am, 07/07/2022] Julian: dont qworry aida
[10:18 am, 07/07/2022] Julian: we can present witouht you
[10:18 am, 07/07/2022] Julian: and your grade wont be impacted
[10:18 am, 07/07/2022] Aida: nooo
[10:18 am, 07/07/2022] Aida: im on my way already
[10:18 am, 07/07/2022] Aida: there are so many droups
[10:18 am, 07/07/2022] Aida: 🥺🥺🥺🥺🥺
[10:19 am, 07/07/2022] Mohamad: don't worry we won't present without you
[10:23 am, 07/07/2022] Aida: thank you
[10:37 am, 07/07/2022] Mohamad: Basically Julian will take from GDP till the end
[10:38 am, 07/07/2022] Aida: okay cool
[10:38 am, 07/07/2022] Aida: beginning takes Ediz
[10:38 am, 07/07/2022] Mohamad: Till which
[10:38 am, 07/07/2022] Aida: im gonna take this 5
[10:39 am, 07/07/2022] Mohamad: So I'll be taking urbanization
[10:39 am, 07/07/2022] Mohamad: ?
[10:39 am, 07/07/2022] Aida: yes
[10:48 am, 07/07/2022] Ediz: https://docs.google.com/presentation/d/18fELIpF6ZevODOfj31gC15JB0Pnc08NZ4j7OfX3RJsc/edit?usp=sharing
[2:25 pm, 08/07/2022] Mohamad: We Got 16 on big data
[2:25 pm, 08/07/2022] Mohamad: 😁
